12/16/14-10:52:46	---INITIALIZING POD SYSTEM---
12/16/14-10:58:12	spd: 0
12/16/14-10:58:12	prx: 0

12/16/14-10:58:14	id: 1
12/16/14-10:58:14	run: False
12/16/14-10:58:14	loc: station_1
12/16/14-10:58:14	spd: 0
12/16/14-10:58:14	prx: 0

12/16/14-10:58:16	id: 1
12/16/14-10:58:16	run: False
12/16/14-10:58:16	loc: station_1
12/16/14-10:58:16	spd: 0
12/16/14-10:58:16	prx: 0

12/16/14-10:58:18	id: 1
12/16/14-10:58:18	run: False
12/16/14-10:58:18	loc: station_1
12/16/14-10:58:18	spd: 0
12/16/14-10:58:18	prx: 0

12/16/14-10:58:20	id: 1
12/16/14-10:58:20	run: False
12/16/14-10:58:20	loc: station_1
12/16/14-10:58:20	spd: 0
12/16/14-10:58:20	prx: 0

12/16/14-10:58:22	id: 1
12/16/14-10:58:22	run: False
12/16/14-10:58:22	loc: station_1
12/16/14-10:58:22	spd: 0
12/16/14-10:58:22	prx: 0

12/16/14-10:58:24	id: 1
12/16/14-10:58:24	run: False
12/16/14-10:58:24	loc: station_1
12/16/14-10:58:24	spd: 0
12/16/14-10:58:24	prx: 0

12/16/14-10:58:26	id: 1
12/16/14-10:58:26	run: False
12/16/14-10:58:26	loc: station_1
12/16/14-10:58:26	spd: 0
12/16/14-10:58:26	prx: 0

12/16/14-10:58:28	id: 1
12/16/14-10:58:28	run: False
12/16/14-10:58:28	loc: station_1
12/16/14-10:58:28	spd: 0
12/16/14-10:58:28	prx: 0

12/16/14-10:58:30	id: 1
12/16/14-10:58:30	run: False
12/16/14-10:58:30	loc: station_1
12/16/14-10:58:30	spd: 0
12/16/14-10:58:30	prx: 0

12/16/14-10:58:32	id: 1
12/16/14-10:58:32	run: False
12/16/14-10:58:32	loc: station_1
12/16/14-10:58:32	spd: 0
12/16/14-10:58:32	prx: 0

12/16/14-10:58:34	id: 1
12/16/14-10:58:34	run: False
12/16/14-10:58:34	loc: station_1
12/16/14-10:58:34	spd: 0
12/16/14-10:58:34	prx: 0

12/16/14-10:58:36	id: 1
12/16/14-10:58:36	run:
